timestamp,name,number_raw,number_int
2025-04-01 00:34:17,Ladock,"905,540",905540
2025-04-01 00:34:17,Captain Comp,"473,369",473369
2025-04-01 00:34:17,Islander Aluvian,"395,146",395146
2025-04-01 00:34:17,Entropy-,"364,117",364117
2025-04-01 00:34:17,Fortunate,"323,828",323828
2025-04-01 00:34:17,Soul Bomb,"277,975",277975
2025-04-01 00:34:17,a rage elemental,"273,850",273850
2025-04-01 00:34:17,Malleah,"265,510",265510
2025-04-01 00:34:17,Mr Bingley,"256,004",256004
2025-04-01 00:34:17,Puggles,"218,297",218297
2025-04-01 00:34:19,Jose Gaspar,"207,525",207525
2025-04-01 00:34:19,Khaj.ja,"207,460",207460
2025-04-01 00:34:19,Gopnitsa,"202,458",202458
2025-04-01 00:34:19,an undead pirate,"183,761",183761
2025-04-01 00:34:19,Unsept,"177,323",177323
2025-04-01 00:34:19,Tyrok,"148,501",148501
2025-04-01 00:34:19,Oddeye,"147,899",147899
2025-04-01 00:34:19,Glok son of Glok,"133,690",133690
2025-04-01 00:34:19,Tortuga,"127,475",127475
2025-04-01 00:34:19,Jack-Sparrow,"127,344",127344
2025-04-01 00:34:22,icahn,"119,908",119908
2025-04-01 00:34:22,PewPewDaSnooSnoo,"115,426",115426
2025-04-01 00:34:22,Jander’s Clone,"113,559",113559
2025-04-01 00:34:22,Deano's Chapel,"107,376",107376
2025-04-01 00:34:22,Vesper Ebonsoul,"106,193",106193
2025-04-01 00:34:22,toge,"104,427",104427
2025-04-01 00:34:22,Rock Strongo,"98,157",98157
2025-04-01 00:34:22,Holy Homework,"89,454",89454
2025-04-01 00:34:22,Bartholomew Rob,"88,551",88551
2025-04-01 00:34:23,Totten,"82,363",82363
2025-04-01 00:34:23,Clam Bake,"82,341",82341
2025-04-01 00:34:23,Holy,"81,901",81901
2025-04-01 00:34:23,TemuMandalorian,"79,628",79628
2025-04-01 00:34:23,Doda,"77,242",77242
2025-04-01 00:34:23,CooXaa,"76,809",76809
2025-04-01 00:34:23,Lazzeri BR,"67,763",67763
2025-04-01 00:34:23,Sweet,"67,474",67474
2025-04-01 00:34:23,Spanky McGee,"65,203",65203
2025-04-01 00:34:23,One Bad Banana,"64,915",64915
2025-04-01 00:34:25,Elvenbane,"62,119",62119
2025-04-01 00:34:25,Slim Peter,"59,096",59096
2025-04-01 00:34:25,Blastro,"45,904",45904
2025-04-01 00:34:25,Feneyboi,"45,790",45790
2025-04-01 00:34:25,Turtlein,"45,378",45378
2025-04-01 00:34:25,Mark Shell,"43,140",43140
2025-04-01 00:34:25,Rileyyy,"41,109",41109
2025-04-01 00:34:25,Glitter Goon,"40,935",40935
2025-04-01 00:34:25,Supra,"39,030",39030
2025-04-01 00:34:25,Svingtor,"37,311",37311
2025-04-01 00:34:28,¥ adidi,"36,471",36471
2025-04-01 00:34:28,Knight of Gaia,"35,913",35913
2025-04-01 00:34:28,PlayerWellKnown,"34,225",34225
2025-04-01 00:34:28,Bloody Belakor,"32,455",32455
2025-04-01 00:34:28,Wrin,"32,450",32450
2025-04-01 00:34:28,Conor McGregor,"32,296",32296
2025-04-01 00:34:28,Tarouca,"31,666",31666
2025-04-01 00:34:28,Suicide Messiah,"30,201",30201
2025-04-01 00:34:28,Capt Jayred,"29,565",29565
2025-04-01 00:34:28,Chris Hansen,"23,494",23494
2025-04-01 00:34:29,Raiden.,"23,425",23425
2025-04-01 00:34:29,Bazak,"22,431",22431
2025-04-01 00:34:29,Robertim,"21,973",21973
2025-04-01 00:34:29,Minga,"19,691",19691
2025-04-01 00:34:29,A Wild Animal,"14,821",14821
2025-04-01 00:34:29,Sailish,"12,374",12374
2025-04-01 04:34:17,Entropy-,"1,014,453",1014453
2025-04-01 04:34:17,Sisa's boy,"664,523",664523
2025-04-01 04:34:17,Islander Aluvian,"605,684",605684
2025-04-01 04:34:17,Balthezar,"566,377",566377
2025-04-01 04:34:17,Bin Laggin-,"526,122",526122
2025-04-01 04:34:17,Edo,"468,383",468383
2025-04-01 04:34:17,Tortuga,"411,213",411213
2025-04-01 04:34:17,a rage elemental,"398,288",398288
2025-04-01 04:34:18,Bapeth,"387,315",387315
2025-04-01 04:34:18,Frelik Cabracan,"308,211",308211
2025-04-01 04:34:18,Crittrain,"286,909",286909
2025-04-01 04:34:18,Unsept,"275,250",275250
2025-04-01 04:34:18,Angelica Shy,"262,027",262027
2025-04-01 04:34:21,Ekarru,"212,929",212929
2025-04-01 04:34:21,Spanky McGee,"208,489",208489
2025-04-01 04:34:21,Suicidal Monkey,"201,127",201127
2025-04-01 04:34:21,Manifest-,"194,737",194737
2025-04-01 04:34:21,Deathroll,"184,008",184008
2025-04-01 04:34:23,Zapp Longwood,"179,685",179685
2025-04-01 04:34:23,Boosoof,"150,676",150676
2025-04-01 04:34:23,Dralcon,"145,859",145859
2025-04-01 04:34:23,Rock Strongo,"142,351",142351
2025-04-01 04:34:23,Mischarlilbelluc,"135,331",135331
2025-04-01 04:34:23,Sonore,"134,731",134731
2025-04-01 04:34:25,Sandwich Baggie,"123,604",123604
2025-04-01 04:34:25,PewPewDaSnooSnoo,"122,994",122994
2025-04-01 04:34:25,Chios,"113,744",113744
2025-04-01 04:34:25,Castigator,"104,492",104492
2025-04-01 04:34:25,Clam Bake,"102,379",102379
2025-04-01 04:34:27,KOPCAP,"97,636",97636
2025-04-01 04:34:27,Thomas Keller,"85,995",85995
